Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
1.0,gompi2024a,OFF,1,96,collective-osu_scatterv_persistent,8.883333333333333,0.013333333333333641,8.72,9.396666666666667,9.42,12.24,13.08
1.0,gompi2024a,OFF,4,4,collective-osu_allgather,2.7000000000000006,3.14018491736755e-16,2.66,2.7100000000000004,2.72,3.793333333333333,3.91
1.0,gompi2024a,OFF,4,4,collective-osu_allgather_persistent,2.37,0.0,2.32,2.3866666666666667,2.39,3.5733333333333337,3.66
1.0,gompi2024a,OFF,4,4,collective-osu_allgatherv,3.8366666666666664,0.05456901847914971,3.75,3.8866666666666667,3.94,4.86,5.46
1.0,gompi2024a,OFF,4,4,collective-osu_allgatherv_persistent,2.3433333333333333,0.008819171036881922,2.31,2.36,2.37,3.4033333333333338,3.72
1.0,gompi2024a,OFF,4,4,collective-osu_alltoall,2.1333333333333333,0.026034165586355608,2.11,2.15,2.19,2.856666666666667,2.95
1.0,gompi2024a,OFF,4,4,collective-osu_alltoall_persistent,2.3000000000000003,0.026457513110645987,2.26,2.3233333333333337,2.37,3.2933333333333334,3.87
1.0,gompi2024a,OFF,4,4,collective-osu_alltoallv,2.1733333333333333,0.03756475889861559,2.14,2.19,2.26,3.0666666666666664,3.2
1.0,gompi2024a,OFF,4,4,collective-osu_alltoallv_persistent,2.2033333333333336,0.012018504251546623,2.16,2.22,2.24,3.033333333333333,3.12
1.0,gompi2024a,OFF,4,4,collective-osu_alltoallw,2.1300000000000003,0.005773502691896263,2.1,2.15,2.16,2.7533333333333334,2.88
1.0,gompi2024a,OFF,4,4,collective-osu_alltoallw_persistent,2.186666666666667,0.013333333333333345,2.16,2.206666666666667,2.22,3.0766666666666667,3.14
1.0,gompi2024a,OFF,4,4,collective-osu_bcast,0.81,0.005773502691896231,0.8,0.8433333333333333,0.85,0.9066666666666667,0.92
1.0,gompi2024a,OFF,4,4,collective-osu_bcast_persistent,0.7466666666666667,0.014529663145135593,0.74,0.77,0.79,0.8033333333333333,0.82
1.0,gompi2024a,OFF,4,4,collective-osu_gather,1.3966666666666665,0.018559214542766683,1.39,1.43,1.46,1.6866666666666668,1.86
1.0,gompi2024a,OFF,4,4,collective-osu_gather_persistent,0.9366666666666666,0.0033333333333332993,0.93,0.9633333333333333,0.97,1.1433333333333333,1.19
1.0,gompi2024a,OFF,4,4,collective-osu_gatherv,0.7066666666666667,0.003333333333333336,0.7,0.7200000000000001,0.73,0.83,0.84
1.0,gompi2024a,OFF,4,4,collective-osu_gatherv_persistent,0.9133333333333334,0.006666666666666672,0.9,0.94,0.95,1.1500000000000001,1.23
1.0,gompi2024a,OFF,4,4,collective-osu_neighbor_allgather,1.7866666666666668,0.006666666666666673,1.77,1.8166666666666667,1.82,2.2933333333333334,2.51
1.0,gompi2024a,OFF,4,4,collective-osu_neighbor_allgatherv,1.7866666666666668,0.006666666666666673,1.77,1.8166666666666667,1.83,2.16,2.31
1.0,gompi2024a,OFF,4,4,collective-osu_neighbor_alltoall,1.7866666666666668,0.0033333333333333366,1.77,1.8166666666666667,1.82,2.3266666666666667,2.51
