Size,Avg Latency(us),P50 Tail Lat(us),P90 Tail Lat(us),P99 Tail Lat(us),toolchain,instrumentation,nodes,cores,benchmark
1024,8.7,8.48,9.8,11.57,gompi2024a,OFF,1,64,collective-osu_allreduce
2048,11.12,10.91,12.53,14.97,gompi2024a,OFF,1,64,collective-osu_allreduce
4096,14.76,14.54,16.91,20.07,gompi2024a,OFF,1,64,collective-osu_allreduce
8192,22.12,21.48,24.67,28.33,gompi2024a,OFF,1,64,collective-osu_allreduce
16384,41.82,41.44,44.92,47.64,gompi2024a,OFF,1,64,collective-osu_allreduce
32768,79.24,78.39,83.55,91.0,gompi2024a,OFF,1,64,collective-osu_allreduce
65536,161.69,160.97,169.15,174.05,gompi2024a,OFF,1,64,collective-osu_allreduce
131072,311.08,309.23,320.26,348.87,gompi2024a,OFF,1,64,collective-osu_allreduce
262144,168.73,167.9,177.27,184.8,gompi2024a,OFF,1,64,collective-osu_allreduce
524288,322.79,322.38,330.81,334.03,gompi2024a,OFF,1,64,collective-osu_allreduce
1048576,739.91,739.14,752.49,758.97,gompi2024a,OFF,1,64,collective-osu_allreduce
4,3.54,3.21,4.48,6.13,gompi2024a,OFF,1,64,collective-osu_allreduce
8,3.58,3.28,4.5,5.66,gompi2024a,OFF,1,64,collective-osu_allreduce
16,3.58,3.29,4.55,6.15,gompi2024a,OFF,1,64,collective-osu_allreduce
32,5.06,4.94,5.95,7.18,gompi2024a,OFF,1,64,collective-osu_allreduce
64,4.87,4.74,5.7,7.22,gompi2024a,OFF,1,64,collective-osu_allreduce
128,7.62,7.36,9.32,12.1,gompi2024a,OFF,1,64,collective-osu_allreduce
256,6.48,6.32,7.24,9.99,gompi2024a,OFF,1,64,collective-osu_allreduce
512,7.26,7.16,7.86,10.1,gompi2024a,OFF,1,64,collective-osu_allreduce
1024,8.51,8.29,9.49,11.7,gompi2024a,OFF,1,64,collective-osu_allreduce
2048,11.07,10.84,12.55,15.39,gompi2024a,OFF,1,64,collective-osu_allreduce
4096,14.86,14.62,16.85,19.77,gompi2024a,OFF,1,64,collective-osu_allreduce
8192,21.9,21.34,24.74,28.84,gompi2024a,OFF,1,64,collective-osu_allreduce
16384,40.74,40.11,44.2,45.95,gompi2024a,OFF,1,64,collective-osu_allreduce
32768,76.58,75.7,81.56,85.35,gompi2024a,OFF,1,64,collective-osu_allreduce
65536,159.73,159.69,166.09,175.86,gompi2024a,OFF,1,64,collective-osu_allreduce
131072,313.52,313.38,324.95,333.99,gompi2024a,OFF,1,64,collective-osu_allreduce
262144,174.7,174.82,185.45,191.7,gompi2024a,OFF,1,64,collective-osu_allreduce
524288,321.95,320.48,329.2,335.56,gompi2024a,OFF,1,64,collective-osu_allreduce
1048576,742.75,742.31,756.57,768.11,gompi2024a,OFF,1,64,collective-osu_allreduce
4,3.52,3.16,4.43,6.48,gompi2024a,OFF,1,64,collective-osu_allreduce
8,3.54,3.2,4.45,6.3,gompi2024a,OFF,1,64,collective-osu_allreduce
16,3.49,3.21,4.44,5.9,gompi2024a,OFF,1,64,collective-osu_allreduce
32,5.03,4.88,6.01,8.28,gompi2024a,OFF,1,64,collective-osu_allreduce
64,4.83,4.72,5.8,7.67,gompi2024a,OFF,1,64,collective-osu_allreduce
128,7.62,7.38,9.33,12.07,gompi2024a,OFF,1,64,collective-osu_allreduce
256,6.32,6.14,7.26,9.35,gompi2024a,OFF,1,64,collective-osu_allreduce
512,6.99,6.75,7.8,10.92,gompi2024a,OFF,1,64,collective-osu_allreduce
1024,8.44,8.17,9.51,12.81,gompi2024a,OFF,1,64,collective-osu_allreduce
2048,10.98,10.72,12.38,15.33,gompi2024a,OFF,1,64,collective-osu_allreduce
4096,14.76,14.49,16.91,20.55,gompi2024a,OFF,1,64,collective-osu_allreduce
8192,22.05,21.53,24.75,28.36,gompi2024a,OFF,1,64,collective-osu_allreduce
16384,41.34,40.81,45.21,48.71,gompi2024a,OFF,1,64,collective-osu_allreduce
32768,78.53,77.75,81.93,89.7,gompi2024a,OFF,1,64,collective-osu_allreduce
65536,163.39,163.17,170.04,179.4,gompi2024a,OFF,1,64,collective-osu_allreduce
131072,317.13,317.17,326.98,339.73,gompi2024a,OFF,1,64,collective-osu_allreduce
262144,172.13,171.9,180.72,191.28,gompi2024a,OFF,1,64,collective-osu_allreduce
524288,332.35,331.89,340.01,347.53,gompi2024a,OFF,1,64,collective-osu_allreduce
1048576,751.61,750.31,763.86,768.27,gompi2024a,OFF,1,64,collective-osu_allreduce
4,3.45,3.11,4.46,6.37,gompi2024a,OFF,1,64,collective-osu_allreduce
8,3.49,3.13,4.46,5.83,gompi2024a,OFF,1,64,collective-osu_allreduce
16,3.46,3.15,4.43,5.5,gompi2024a,OFF,1,64,collective-osu_allreduce
32,4.97,4.84,5.93,7.51,gompi2024a,OFF,1,64,collective-osu_allreduce
64,4.84,4.73,5.84,8.5,gompi2024a,OFF,1,64,collective-osu_allreduce
128,8.33,7.36,9.51,44.02,gompi2024a,OFF,1,64,collective-osu_allreduce
256,6.32,6.11,7.23,9.52,gompi2024a,OFF,1,64,collective-osu_allreduce
512,7.04,6.82,7.85,9.79,gompi2024a,OFF,1,64,collective-osu_allreduce
1024,8.43,8.13,9.55,12.11,gompi2024a,OFF,1,64,collective-osu_allreduce
2048,10.9,10.7,12.29,14.79,gompi2024a,OFF,1,64,collective-osu_allreduce
4096,14.67,14.37,16.71,19.48,gompi2024a,OFF,1,64,collective-osu_allreduce
8192,21.96,21.33,24.72,28.26,gompi2024a,OFF,1,64,collective-osu_allreduce
16384,42.18,41.6,44.85,51.54,gompi2024a,OFF,1,64,collective-osu_allreduce
32768,78.82,77.69,85.14,92.91,gompi2024a,OFF,1,64,collective-osu_allreduce
65536,162.01,160.71,169.72,179.97,gompi2024a,OFF,1,64,collective-osu_allreduce
131072,309.82,309.07,320.8,334.46,gompi2024a,OFF,1,64,collective-osu_allreduce
262144,170.51,169.99,178.1,184.21,gompi2024a,OFF,1,64,collective-osu_allreduce
524288,318.9,317.86,327.95,332.18,gompi2024a,OFF,1,64,collective-osu_allreduce
1048576,758.7,755.94,774.61,789.27,gompi2024a,OFF,1,64,collective-osu_allreduce
4,3.49,3.16,4.43,6.19,gompi2024a,OFF,1,64,collective-osu_allreduce
8,3.55,3.2,4.53,5.56,gompi2024a,OFF,1,64,collective-osu_allreduce
16,3.53,3.21,4.5,6.4,gompi2024a,OFF,1,64,collective-osu_allreduce
32,5.06,4.92,5.94,7.85,gompi2024a,OFF,1,64,collective-osu_allreduce
64,4.99,4.82,5.92,7.37,gompi2024a,OFF,1,64,collective-osu_allreduce
128,7.7,7.43,9.5,11.67,gompi2024a,OFF,1,64,collective-osu_allreduce
256,6.54,6.36,7.39,10.27,gompi2024a,OFF,1,64,collective-osu_allreduce
512,7.35,7.11,8.05,10.85,gompi2024a,OFF,1,64,collective-osu_allreduce
1024,8.57,8.33,9.54,12.81,gompi2024a,OFF,1,64,collective-osu_allreduce
2048,11.06,10.81,12.52,15.01,gompi2024a,OFF,1,64,collective-osu_allreduce
4096,14.75,14.5,16.91,20.13,gompi2024a,OFF,1,64,collective-osu_allreduce
8192,22.22,21.66,24.88,28.51,gompi2024a,OFF,1,64,collective-osu_allreduce
16384,41.97,41.24,45.37,47.86,gompi2024a,OFF,1,64,collective-osu_allreduce
32768,78.97,78.28,83.72,87.52,gompi2024a,OFF,1,64,collective-osu_allreduce
65536,162.06,161.62,169.98,174.3,gompi2024a,OFF,1,64,collective-osu_allreduce
131072,314.61,315.35,325.38,336.21,gompi2024a,OFF,1,64,collective-osu_allreduce
262144,172.44,171.19,182.09,189.81,gompi2024a,OFF,1,64,collective-osu_allreduce
524288,333.51,323.12,333.29,528.85,gompi2024a,OFF,1,64,collective-osu_allreduce
1048576,760.97,760.22,771.08,782.17,gompi2024a,OFF,1,64,collective-osu_allreduce
4,3.63,3.31,4.57,6.35,gompi2024a,OFF,1,64,collective-osu_allreduce
8,3.64,3.36,4.62,5.64,gompi2024a,OFF,1,64,collective-osu_allreduce
16,3.64,3.36,4.69,5.8,gompi2024a,OFF,1,64,collective-osu_allreduce
32,5.04,4.94,5.85,7.24,gompi2024a,OFF,1,64,collective-osu_allreduce
64,5.02,4.86,5.98,8.44,gompi2024a,OFF,1,64,collective-osu_allreduce
128,7.62,7.37,9.12,12.0,gompi2024a,OFF,1,64,collective-osu_allreduce
256,6.5,6.34,7.23,9.82,gompi2024a,OFF,1,64,collective-osu_allreduce
512,7.23,7.11,7.87,9.39,gompi2024a,OFF,1,64,collective-osu_allreduce
1024,8.53,8.3,9.59,12.63,gompi2024a,OFF,1,64,collective-osu_allreduce
2048,11.07,10.81,12.42,15.37,gompi2024a,OFF,1,64,collective-osu_allreduce
4096,14.9,14.53,17.05,20.06,gompi2024a,OFF,1,64,collective-osu_allreduce
8192,21.76,21.11,24.68,27.78,gompi2024a,OFF,1,64,collective-osu_allreduce
16384,40.6,40.19,43.25,46.3,gompi2024a,OFF,1,64,collective-osu_allreduce
32768,77.17,76.61,81.67,86.72,gompi2024a,OFF,1,64,collective-osu_allreduce
65536,158.78,157.77,165.8,173.88,gompi2024a,OFF,1,64,collective-osu_allreduce
131072,307.18,306.9,319.23,327.19,gompi2024a,OFF,1,64,collective-osu_allreduce
262144,169.99,169.6,178.75,190.55,gompi2024a,OFF,1,64,collective-osu_allreduce
524288,324.68,324.61,331.38,336.93,gompi2024a,OFF,1,64,collective-osu_allreduce
1048576,750.11,749.54,760.51,772.99,gompi2024a,OFF,1,64,collective-osu_allreduce
1,4.78,4.41,5.92,7.59,gompi2024a,OFF,1,96,collective-osu_allgather
2,4.94,4.6,6.06,7.81,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.27,5.99,7.42,9.42,gompi2024a,OFF,1,96,collective-osu_allgather
8,6.79,6.56,7.83,10.33,gompi2024a,OFF,1,96,collective-osu_allgather
16,7.81,7.6,8.76,10.65,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.15,8.95,10.06,13.4,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.52,11.33,12.68,15.68,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.64,14.35,16.11,19.7,gompi2024a,OFF,1,96,collective-osu_allgather
256,19.98,19.69,21.07,25.31,gompi2024a,OFF,1,96,collective-osu_allgather
512,51.15,50.78,52.96,57.22,gompi2024a,OFF,1,96,collective-osu_allgather
1024,68.83,68.45,71.21,75.43,gompi2024a,OFF,1,96,collective-osu_allgather
2048,98.62,98.09,102.12,107.11,gompi2024a,OFF,1,96,collective-osu_allgather
4096,154.65,154.14,160.99,167.01,gompi2024a,OFF,1,96,collective-osu_allgather
8192,294.47,293.97,303.41,311.35,gompi2024a,OFF,1,96,collective-osu_allgather
16384,876.35,871.2,923.41,974.13,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2588.0,2574.32,2596.72,2617.81,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4443.85,4444.68,4464.51,4482.95,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8726.11,8725.44,8753.62,8777.04,gompi2024a,OFF,1,96,collective-osu_allgather
262144,25985.82,23730.49,33424.12,39765.25,gompi2024a,OFF,1,96,collective-osu_allgather
524288,44289.6,41444.18,56673.15,61378.58,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,54156.03,54152.83,54211.85,54263.61,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.79,4.48,5.78,7.86,gompi2024a,OFF,1,96,collective-osu_allgather
2,4.98,4.7,6.05,8.23,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.46,6.19,7.52,10.4,gompi2024a,OFF,1,96,collective-osu_allgather
8,6.99,6.76,8.01,10.29,gompi2024a,OFF,1,96,collective-osu_allgather
16,7.98,7.79,8.71,11.94,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.34,9.15,10.15,12.58,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.66,11.47,12.84,16.07,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.69,14.42,16.18,20.07,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.0,19.69,21.22,25.43,gompi2024a,OFF,1,96,collective-osu_allgather
512,50.65,50.34,52.35,56.74,gompi2024a,OFF,1,96,collective-osu_allgather
1024,68.4,68.01,70.77,74.48,gompi2024a,OFF,1,96,collective-osu_allgather
2048,98.59,97.85,102.31,109.14,gompi2024a,OFF,1,96,collective-osu_allgather
4096,152.4,151.88,158.57,163.82,gompi2024a,OFF,1,96,collective-osu_allgather
8192,288.61,287.85,297.36,304.81,gompi2024a,OFF,1,96,collective-osu_allgather
16384,879.66,870.76,930.27,970.02,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2561.32,2564.66,2587.71,2607.74,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4445.34,4447.71,4466.54,4484.07,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8793.14,8786.54,8839.74,8864.92,gompi2024a,OFF,1,96,collective-osu_allgather
262144,25859.28,24222.02,32847.51,37573.63,gompi2024a,OFF,1,96,collective-osu_allgather
524288,44786.25,42097.3,57093.71,63312.05,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,53695.0,53698.59,53738.61,53791.25,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.89,4.57,5.74,7.56,gompi2024a,OFF,1,96,collective-osu_allgather
2,5.05,4.83,6.0,7.48,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.65,6.39,7.81,10.68,gompi2024a,OFF,1,96,collective-osu_allgather
8,7.13,6.94,8.06,10.72,gompi2024a,OFF,1,96,collective-osu_allgather
16,8.19,8.01,8.98,12.06,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.47,9.28,10.22,14.05,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.72,11.53,12.73,16.13,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.93,14.57,16.34,20.38,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.48,20.24,21.65,25.6,gompi2024a,OFF,1,96,collective-osu_allgather
512,53.07,52.32,54.48,58.83,gompi2024a,OFF,1,96,collective-osu_allgather
1024,67.04,66.62,69.86,73.4,gompi2024a,OFF,1,96,collective-osu_allgather
2048,94.03,93.27,97.78,102.66,gompi2024a,OFF,1,96,collective-osu_allgather
4096,154.3,153.7,160.55,168.46,gompi2024a,OFF,1,96,collective-osu_allgather
8192,291.28,290.74,300.08,308.27,gompi2024a,OFF,1,96,collective-osu_allgather
16384,870.74,865.07,918.56,954.74,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2567.92,2566.68,2599.18,2617.18,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4463.88,4454.96,4477.03,4493.81,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8754.52,8754.49,8784.89,8823.5,gompi2024a,OFF,1,96,collective-osu_allgather
262144,25999.74,23798.13,32594.52,39148.24,gompi2024a,OFF,1,96,collective-osu_allgather
524288,43431.57,40948.18,53397.79,56161.1,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,53783.45,53785.49,53835.92,53889.43,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.86,4.53,5.9,7.71,gompi2024a,OFF,1,96,collective-osu_allgather
2,5.04,4.78,6.05,7.64,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.49,6.26,7.54,10.11,gompi2024a,OFF,1,96,collective-osu_allgather
8,7.05,6.84,7.9,10.92,gompi2024a,OFF,1,96,collective-osu_allgather
16,8.03,7.85,8.81,11.66,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.34,9.13,10.21,13.26,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.65,11.42,12.8,16.24,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.81,14.48,16.12,20.66,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.31,20.08,21.3,25.34,gompi2024a,OFF,1,96,collective-osu_allgather
512,52.71,52.27,54.37,59.06,gompi2024a,OFF,1,96,collective-osu_allgather
1024,67.66,67.16,70.63,74.81,gompi2024a,OFF,1,96,collective-osu_allgather
2048,96.85,95.47,100.19,104.32,gompi2024a,OFF,1,96,collective-osu_allgather
4096,154.09,153.44,160.47,166.72,gompi2024a,OFF,1,96,collective-osu_allgather
8192,293.91,293.13,302.63,313.23,gompi2024a,OFF,1,96,collective-osu_allgather
16384,912.71,903.61,966.01,1046.67,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2584.76,2585.93,2613.58,2643.22,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4462.49,4461.56,4486.24,4499.23,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8807.45,8795.7,8860.0,9067.55,gompi2024a,OFF,1,96,collective-osu_allgather
262144,26383.95,24180.02,34557.43,42934.24,gompi2024a,OFF,1,96,collective-osu_allgather
524288,44716.11,42316.62,57674.8,60486.68,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,53779.46,53772.97,53827.67,53983.89,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.84,4.54,5.7,7.27,gompi2024a,OFF,1,96,collective-osu_allgather
2,5.06,4.79,5.91,7.59,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.61,6.36,7.62,10.73,gompi2024a,OFF,1,96,collective-osu_allgather
8,7.12,6.91,8.03,10.69,gompi2024a,OFF,1,96,collective-osu_allgather
16,8.21,8.03,8.9,11.11,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.48,9.27,10.26,13.77,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.78,11.54,12.9,16.4,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.89,14.56,16.36,19.87,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.45,20.22,21.56,25.23,gompi2024a,OFF,1,96,collective-osu_allgather
512,53.25,52.85,55.01,59.79,gompi2024a,OFF,1,96,collective-osu_allgather
1024,66.77,66.3,69.36,73.74,gompi2024a,OFF,1,96,collective-osu_allgather
2048,92.73,91.96,96.41,101.33,gompi2024a,OFF,1,96,collective-osu_allgather
4096,155.26,154.76,161.92,168.18,gompi2024a,OFF,1,96,collective-osu_allgather
8192,296.18,295.63,304.32,314.19,gompi2024a,OFF,1,96,collective-osu_allgather
16384,896.62,889.43,942.93,994.47,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2578.99,2580.39,2614.0,2633.41,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4482.07,4481.1,4505.47,4521.67,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8812.46,8785.0,8820.45,8862.48,gompi2024a,OFF,1,96,collective-osu_allgather
262144,26418.13,24739.63,35295.43,39520.51,gompi2024a,OFF,1,96,collective-osu_allgather
524288,44338.36,41592.9,54939.16,60821.04,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,53810.48,53810.85,53864.2,53913.9,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.85,4.52,5.86,7.6,gompi2024a,OFF,1,96,collective-osu_allgather
2,4.98,4.69,5.94,7.66,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.36,6.11,7.55,9.61,gompi2024a,OFF,1,96,collective-osu_allgather
8,6.93,6.7,7.94,10.48,gompi2024a,OFF,1,96,collective-osu_allgather
16,8.2,7.77,8.77,12.85,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.27,9.0,10.02,12.89,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.6,11.39,12.83,15.79,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.71,14.36,16.1,20.4,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.18,19.91,21.3,25.78,gompi2024a,OFF,1,96,collective-osu_allgather
512,51.63,51.22,53.35,58.07,gompi2024a,OFF,1,96,collective-osu_allgather
1024,68.21,67.78,70.37,74.95,gompi2024a,OFF,1,96,collective-osu_allgather
2048,97.57,96.89,101.79,106.2,gompi2024a,OFF,1,96,collective-osu_allgather
4096,157.4,156.97,163.88,170.68,gompi2024a,OFF,1,96,collective-osu_allgather
8192,301.1,298.82,308.61,317.8,gompi2024a,OFF,1,96,collective-osu_allgather
16384,914.81,914.38,963.43,1007.92,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2585.16,2584.01,2620.28,2642.89,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4482.75,4483.69,4511.76,4527.06,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8849.17,8844.11,8888.92,8918.47,gompi2024a,OFF,1,96,collective-osu_allgather
262144,25877.07,24073.49,31916.62,37028.76,gompi2024a,OFF,1,96,collective-osu_allgather
524288,44830.87,41999.23,56484.22,61491.46,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,53843.42,53838.72,53899.56,53947.44,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.92,4.56,5.82,8.82,gompi2024a,OFF,1,96,collective-osu_allgather
2,5.08,4.83,6.08,7.78,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.48,6.24,7.59,9.65,gompi2024a,OFF,1,96,collective-osu_allgather
8,6.95,6.72,7.88,11.17,gompi2024a,OFF,1,96,collective-osu_allgather
16,7.96,7.76,8.8,12.22,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.23,9.02,10.14,13.16,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.52,11.32,12.7,16.05,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.63,14.32,16.08,20.24,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.07,19.72,21.19,26.34,gompi2024a,OFF,1,96,collective-osu_allgather
512,51.52,51.14,53.5,57.57,gompi2024a,OFF,1,96,collective-osu_allgather
1024,67.99,67.54,70.51,73.55,gompi2024a,OFF,1,96,collective-osu_allgather
2048,97.29,96.54,101.72,105.95,gompi2024a,OFF,1,96,collective-osu_allgather
4096,153.45,152.48,159.7,167.92,gompi2024a,OFF,1,96,collective-osu_allgather
8192,292.37,291.76,301.73,309.27,gompi2024a,OFF,1,96,collective-osu_allgather
16384,886.92,879.5,929.21,979.95,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2591.25,2574.57,2609.85,2638.34,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4445.33,4449.06,4470.51,4482.37,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8741.89,8740.46,8772.3,8783.85,gompi2024a,OFF,1,96,collective-osu_allgather
262144,26427.91,24456.68,34338.54,40711.69,gompi2024a,OFF,1,96,collective-osu_allgather
524288,44465.41,41482.62,56891.64,61561.45,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,53781.25,53780.39,53837.3,53886.64,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.85,4.55,5.8,7.06,gompi2024a,OFF,1,96,collective-osu_allgather
2,5.02,4.77,6.04,8.1,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.53,6.31,7.58,9.93,gompi2024a,OFF,1,96,collective-osu_allgather
8,7.08,6.89,7.95,10.01,gompi2024a,OFF,1,96,collective-osu_allgather
16,8.14,7.94,8.91,11.94,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.4,9.21,10.27,12.82,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.72,11.46,12.87,16.17,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.86,14.55,16.16,20.28,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.47,20.19,21.78,26.57,gompi2024a,OFF,1,96,collective-osu_allgather
512,52.95,52.62,54.7,58.55,gompi2024a,OFF,1,96,collective-osu_allgather
1024,67.51,67.02,69.77,73.08,gompi2024a,OFF,1,96,collective-osu_allgather
2048,94.38,93.58,98.27,102.36,gompi2024a,OFF,1,96,collective-osu_allgather
4096,155.45,155.18,162.12,167.62,gompi2024a,OFF,1,96,collective-osu_allgather
8192,294.99,294.44,304.56,314.41,gompi2024a,OFF,1,96,collective-osu_allgather
16384,890.23,890.14,937.38,983.59,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2572.76,2573.47,2606.03,2637.34,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4455.79,4455.33,4479.07,4487.38,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8852.17,8850.61,8893.25,8921.21,gompi2024a,OFF,1,96,collective-osu_allgather
262144,26545.16,24279.18,35304.51,40774.31,gompi2024a,OFF,1,96,collective-osu_allgather
524288,44436.64,41527.38,57122.69,60776.01,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,53829.29,53826.68,53877.12,53908.1,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.93,4.62,5.84,9.29,gompi2024a,OFF,1,96,collective-osu_allgather
2,5.13,4.91,5.93,8.31,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.63,6.36,7.68,11.0,gompi2024a,OFF,1,96,collective-osu_allgather
8,7.14,6.91,8.11,11.11,gompi2024a,OFF,1,96,collective-osu_allgather
16,8.28,8.08,9.01,12.2,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.54,9.26,10.22,13.73,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.71,11.51,12.78,15.92,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.75,14.41,16.14,20.17,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.46,20.22,21.66,25.32,gompi2024a,OFF,1,96,collective-osu_allgather
512,52.74,52.4,54.56,58.85,gompi2024a,OFF,1,96,collective-osu_allgather
1024,67.93,67.49,70.44,74.26,gompi2024a,OFF,1,96,collective-osu_allgather
2048,95.61,94.86,99.73,104.34,gompi2024a,OFF,1,96,collective-osu_allgather
4096,153.78,153.32,159.59,166.3,gompi2024a,OFF,1,96,collective-osu_allgather
8192,294.13,291.75,300.49,308.92,gompi2024a,OFF,1,96,collective-osu_allgather
16384,895.77,889.05,951.4,999.34,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2573.22,2571.84,2602.69,2629.02,gompi2024a,OFF,1,96,collective-osu_allgather
65536,4448.06,4446.53,4472.33,4494.91,gompi2024a,OFF,1,96,collective-osu_allgather
131072,8729.59,8721.53,8763.23,8805.41,gompi2024a,OFF,1,96,collective-osu_allgather
262144,26192.36,24024.17,33382.45,39648.19,gompi2024a,OFF,1,96,collective-osu_allgather
524288,44102.1,41094.49,54281.31,61641.45,gompi2024a,OFF,1,96,collective-osu_allgather
1048576,53877.22,53871.8,53931.39,53976.81,gompi2024a,OFF,1,96,collective-osu_allgather
1,4.96,4.63,5.84,9.68,gompi2024a,OFF,1,96,collective-osu_allgather
2,5.1,4.87,5.95,7.48,gompi2024a,OFF,1,96,collective-osu_allgather
4,6.57,6.3,7.63,10.5,gompi2024a,OFF,1,96,collective-osu_allgather
8,7.06,6.84,8.04,10.02,gompi2024a,OFF,1,96,collective-osu_allgather
16,8.18,8.0,8.92,10.81,gompi2024a,OFF,1,96,collective-osu_allgather
32,9.42,9.21,10.27,13.32,gompi2024a,OFF,1,96,collective-osu_allgather
64,11.67,11.45,12.7,16.52,gompi2024a,OFF,1,96,collective-osu_allgather
128,14.75,14.39,16.12,19.95,gompi2024a,OFF,1,96,collective-osu_allgather
256,20.39,20.11,21.46,25.63,gompi2024a,OFF,1,96,collective-osu_allgather
512,52.31,51.88,54.21,58.62,gompi2024a,OFF,1,96,collective-osu_allgather
1024,67.79,67.26,70.88,75.29,gompi2024a,OFF,1,96,collective-osu_allgather
2048,95.58,94.85,99.52,104.86,gompi2024a,OFF,1,96,collective-osu_allgather
4096,156.51,156.05,162.2,169.07,gompi2024a,OFF,1,96,collective-osu_allgather
8192,297.89,297.57,306.17,312.21,gompi2024a,OFF,1,96,collective-osu_allgather
16384,908.09,901.5,987.07,1032.8,gompi2024a,OFF,1,96,collective-osu_allgather
32768,2587.19,2586.1,2618.24,2635.55,gompi2024a,OFF,1,96,collective-osu_allgather
