Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
8,gompi2024a,ON,4,4,collective-osu_allreduce,2.685,0.004281744192888383,2.65,2.69,2.73,3.793,3.85
8,gompi2024a,ON,4,104,collective-osu_allgather,7.848000000000001,0.041063636251825374,7.65,8.735,8.97,9.943000000000001,10.37
8,gompi2024a,ON,4,104,collective-osu_allreduce,7.767,0.23393280136730613,7.45,7.642,7.71,9.793000000000001,10.27
8,intel2024a,OFF,1,4,collective-osu_allgather,0.692,0.005537749241945379,0.69,0.703,0.75,0.739,0.82
8,intel2024a,OFF,1,4,collective-osu_allreduce,0.375,0.010137937550497035,0.355,0.414,0.48,0.429,0.49
8,intel2024a,OFF,1,104,collective-osu_allgather,11.208,0.06631239200431042,8.19,18.165,19.25,54.075,57.82
8,intel2024a,OFF,1,104,collective-osu_allreduce,3.647,0.06214767359550421,3.38,4.697,5.13,5.5920000000000005,6.17
8,intel2024a,OFF,4,4,collective-osu_allgather,2.511,0.012600705447623853,2.4850000000000003,2.508,2.52,2.602,2.86
8,intel2024a,OFF,4,4,collective-osu_allreduce,1.645,0.006368324391514272,1.63,1.656,1.67,1.85,1.89
8,intel2024a,OFF,4,104,collective-osu_allgather,15.186000000000002,0.010022197585581965,14.805,15.474,15.54,23.913,24.39
8,intel2024a,OFF,4,104,collective-osu_allreduce,4.801,0.024469936202977292,4.63,4.879,4.93,9.312000000000001,19.65
8,intel2024a,ON,1,4,collective-osu_allgather,0.982,0.003265986323710907,0.95,0.9810000000000001,1.01,2.078,2.26
8,intel2024a,ON,1,4,collective-osu_allreduce,0.685,0.005821416398857651,0.66,0.697,0.74,1.8519999999999999,1.99
8,intel2024a,ON,1,104,collective-osu_allgather,15.075999999999999,0.043184359308537694,11.535,28.549,29.63,46.688,49.43
8,intel2024a,ON,1,104,collective-osu_allreduce,3.8579999999999997,0.06509480265991544,3.755,4.452,5.25,7.093999999999999,8.4
8,intel2024a,ON,4,4,collective-osu_allgather,2.7779999999999996,0.0013333333333333049,2.76,2.784,2.79,3.6270000000000002,3.67
8,intel2024a,ON,4,4,collective-osu_allreduce,1.9449999999999998,0.0022360679774997916,1.91,1.9469999999999998,1.96,3.122,3.27
8,intel2024a,ON,4,104,collective-osu_allgather,15.881,0.027465129406819513,15.225000000000001,17.375999999999998,17.62,24.913,25.76
8,intel2024a,ON,4,104,collective-osu_allreduce,5.066,0.01013245610238045,4.97,5.174,5.22,7.75,8.89
16,gompi2024a,OFF,1,4,collective-osu_allgather,0.655,0.001666666666666668,0.65,0.691,0.7,0.748,0.76
16,gompi2024a,OFF,1,4,collective-osu_allreduce,0.532,0.0032659863237109073,0.53,0.554,0.56,0.626,0.64
16,gompi2024a,OFF,1,104,collective-osu_allgather,8.028,0.03699249173068024,7.775,8.797,8.97,12.565000000000001,14.49
16,gompi2024a,OFF,1,104,collective-osu_allreduce,4.256,0.00945163125250517,4.045,5.191000000000001,5.25,8.146,10.92
16,gompi2024a,OFF,4,4,collective-osu_allgather,2.467,0.008950481054731686,2.46,2.475,2.5,2.5170000000000003,2.54
16,gompi2024a,OFF,4,4,collective-osu_allreduce,2.4699999999999998,0.0064978628965392995,2.46,2.4810000000000003,2.53,2.587,2.72
16,gompi2024a,OFF,4,104,collective-osu_allgather,8.786,0.03159465496286083,8.36,10.516,10.61,12.096,12.5
16,gompi2024a,OFF,4,104,collective-osu_allreduce,8.916,0.032971368050341995,8.77,9.074000000000002,9.17,11.574000000000002,12.23
16,gompi2024a,ON,1,4,collective-osu_allgather,0.868,0.008793937305515287,0.855,0.8949999999999999,0.92,1.973,2.3
16,gompi2024a,ON,1,4,collective-osu_allreduce,0.788,0.002905932629027118,0.76,0.8009999999999999,0.81,1.902,1.96
16,gompi2024a,ON,1,104,collective-osu_allgather,8.375,0.03804237403504445,8.09,9.234,9.41,13.328,14.46
16,gompi2024a,ON,1,104,collective-osu_allreduce,4.742,0.010413666234542209,4.595,5.6770000000000005,5.72,9.379,11.08
16,gompi2024a,ON,4,4,collective-osu_allgather,2.65,0.001490711984999861,2.63,2.661,2.67,3.469,3.6
16,gompi2024a,ON,4,4,collective-osu_allreduce,2.675,0.007031674369909673,2.64,2.676,2.72,3.7700000000000005,3.87
16,gompi2024a,ON,4,104,collective-osu_allgather,9.120000000000001,0.041069047550030505,8.684999999999999,10.968,11.13,12.513,12.82
16,gompi2024a,ON,4,104,collective-osu_allreduce,9.301,0.01689510119663231,9.165,9.473,9.56,12.403,12.71
16,intel2024a,OFF,1,4,collective-osu_allgather,0.692,0.00442216638714053,0.69,0.705,0.75,0.736,0.77
16,intel2024a,OFF,1,4,collective-osu_allreduce,0.37,0.009309493362512626,0.35,0.414,0.48,0.42699999999999994,0.49
16,intel2024a,OFF,1,104,collective-osu_allgather,7.125,0.030921046410351514,6.75,8.286,8.39,12.059000000000001,13.42
16,intel2024a,OFF,1,104,collective-osu_allreduce,3.597,0.054468135435112676,3.37,4.66,5.04,5.4799999999999995,5.77
16,intel2024a,OFF,4,4,collective-osu_allgather,2.5439999999999996,0.0016329931618554172,2.54,2.566,2.57,2.663,2.84
16,intel2024a,OFF,4,4,collective-osu_allreduce,1.6320000000000001,0.007118052168020856,1.6150000000000002,1.638,1.65,1.874,2.11
16,intel2024a,OFF,4,104,collective-osu_allgather,15.651,0.0446828328953699,15.41,15.785,15.83,16.294,16.48
16,intel2024a,OFF,4,104,collective-osu_allreduce,4.673,0.009893881386437275,4.625,4.848,4.89,5.811,6.43
16,intel2024a,ON,1,4,collective-osu_allgather,0.986,0.003399346342395192,0.955,0.982,1.01,2.0989999999999998,2.32
16,intel2024a,ON,1,4,collective-osu_allreduce,0.682,0.0064635731432217645,0.655,0.693,0.74,1.85,1.99
16,intel2024a,ON,1,104,collective-osu_allgather,7.6659999999999995,0.016746475582774024,7.3,8.943999999999999,9.25,13.294999999999998,15.15
16,intel2024a,ON,1,104,collective-osu_allreduce,3.7310000000000003,0.0462228899524419,3.62,4.261,5.01,6.808,7.49
16,intel2024a,ON,4,4,collective-osu_allgather,2.832,0.001999999999999987,2.81,2.843,2.85,3.725,3.83
16,intel2024a,ON,4,4,collective-osu_allreduce,1.923,0.0021343747458109513,1.895,1.9289999999999998,1.94,3.036,3.2
16,intel2024a,ON,4,104,collective-osu_allgather,15.916999999999998,0.041687994541461014,15.735,16.048,16.11,17.154,17.39
16,intel2024a,ON,4,104,collective-osu_allreduce,5.053,0.01751507287389285,4.985,5.1850000000000005,5.31,7.058,7.49
32,gompi2024a,OFF,1,4,collective-osu_allgather,0.788,0.0013333333333333348,0.785,0.8230000000000001,0.83,0.876,0.89
32,gompi2024a,OFF,1,4,collective-osu_allreduce,0.8230000000000001,0.002603416558635541,0.82,0.869,0.88,0.921,0.94
32,gompi2024a,OFF,1,104,collective-osu_allgather,9.558,0.03312602199681285,9.274999999999999,10.472,10.56,14.588,16.55
32,gompi2024a,OFF,1,104,collective-osu_allreduce,5.833,0.038731267873787875,5.64,6.768000000000001,6.97,11.221,13.02
32,gompi2024a,OFF,4,4,collective-osu_allgather,2.7399999999999998,0.005374838498865677,2.72,2.872,2.92,2.981,3.05
32,gompi2024a,OFF,4,4,collective-osu_allreduce,2.548,0.008000000000000009,2.54,2.572,2.63,2.666,2.77
